Optical_Path_Difference (cm),"Intencity, a.u."
-0.2159722,0.003136242
-0.2158333,0.003357525
-0.2156944,0.002795602
-0.2155556,0.001693661
-0.2154167,-0.000304
-0.2152778,-0.00214
-0.2151389,-0.00352
-0.215,-0.00354
-0.2148611,-0.00293
-0.2147222,-0.00181
-0.2145833,-0.00104
-0.2144444,-0.0000458
-0.2143056,0.000945026
-0.2141667,0.002473439
-0.2140278,0.003576572
-0.2138889,0.004058326
-0.21375,0.002924497
-0.2136111,0.001022512
-0.2134722,-0.00133
-0.2133333,-0.00264
-0.2131944,-0.00322
-0.2130556,-0.00301
-0.2129167,-0.00309
-0.2127778,-0.00289
-0.2126389,-0.00238
-0.2125,-0.000592
-0.2123611,0.001613045
-0.2122222,0.003819162
-0.2120833,0.004492546
-0.2119444,0.003990377
-0.2118056,0.002409811
-0.2116667,0.0011827
-0.2115278,0.000226492
-0.2113889,-0.000217
-0.21125,-0.00131
-0.2111111,-0.00264
-0.2109722,-0.00394
-0.2108333,-0.00371
-0.2106944,-0.00226
-0.2105556,0.000198627
-0.2104167,0.001871283
-0.2102778,0.002697403
-0.2101389,0.002433653
-0.21,0.002347226
-0.2098611,0.002359445
-0.2097222,0.002616639
-0.2095833,0.001814956
-0.2094444,9.92365E-05
-0.2093056,-0.00239
-0.2091667,-0.00387
-0.2090278,-0.00408
-0.2088889,-0.00272
-0.20875,-0.00141
-0.2086111,-0.00048
-0.2084722,-0.00037
-0.2083333,0.000171656
-0.2081944,0.00106662
-0.2080556,0.002571637
-0.2079167,0.003164107
-0.2077778,0.002706195
-0.2076389,0.000872309
-0.2075,-0.000751
-0.2073611,-0.00166
-0.2072222,-0.0012
-0.2070833,-0.000736
-0.2069444,-0.00053
-0.2068056,-0.00118
-0.2066667,-0.00139
-0.2065278,-0.000974
-0.2063889,0.000576372
-0.20625,0.0018008
-0.2061111,0.002338732
-0.2059722,0.001499946
-0.2058333,0.000513191
-0.2056944,-0.000223
-0.2055556,0.000135297
-0.2054167,0.000516916
-0.2052778,0.00059321
-0.2051389,-0.000351
-0.205,-0.00121
-0.2048611,-0.00157
-0.2047222,-0.000735
-0.2045833,0.000198478
-0.2044444,0.000836397
-0.2043056,0.000277305
-0.2041667,-0.000531
